HotelBrandID,HotelBrandName
2132,Prime Hotel
2133,Hotel Indigo
2134,Scottish Inn
2135,President Hotels WWTE
2136,BedandBreakfast.com
2137,Mercure
2138,Dorint
2139,Suite Novotel
2140,All Seasons
2141,Ibis
2142,Etap Hotel
2143,Formule 1
2144,Accor Thalassa 
2145,Accor Vancances
2146,Conrad
2149,Studio Plus
2150,Walt Disney World Resorts Other
2151,Woogo Hotels WWTE
2152,Langham Hotels - WWTE
2153,The Alex Hotel WWTE
2158,Grand Lodge WWTE
2159,Sand and Seaside WWTE
2160,Motel One
2161,Test Brand
2162,PMI Marriott East
2163,PMI Universal Studios Anaheim-Buena 
2164,Quality Suites
2165,Hawthorn Inn & Suites
2166,Koelnmesse WWTE
2167,Sandman Hotels
2168,Club Quarters
2169,Los Cabos 0906
2170,Coco Resorts WWTE
2171,Test Brand Carie
2172,JW Marriott 
2173,Marriott Executive Apartments
2174,Montpelier Inn - WWTE
2175,Condos at Coral Gardens WWTE
2176,Travel Inn WWTE
2177,South Padre Hotels - WWTE
2178,Morgans Hotel Group
2179,Bulgari Hotels & Resorts
2180,Campanile
2181,Concorde
2182,Derag Livinghotels
2183,Kyriad
2184,Groupe Barriere
2185,Pacific International
2186,Premiere Classe
2187,Radisson Blu Edwardian
2188,Top Hotels
2189,Ottley's plantation inn
2190,Luxury Resorts
2191,Duta Resorts
2192,Hotel Monterey Group
2193,Coralia Club
2194,Waldorf Astoria
2195,Orbis
2196,Hankyu Dai Ichi Hotel Group
2197,Jin Jiang Hotels
2198,Baja Resorts - WWTE
2199,Hilton International
2200,Starwood other branded
2201,Rosen Hotels
2202,Good Nite Inns
2203,Great Wolf Lodge
2204,Bradford Homesuites
2205,Ayres Collection
2206,Saville Hotels and Resorts
2207,Amari
2208,Grand Coco Bay - WWTE
2209,Hyatt Place
2210,Lebua at State Tower
2211,Starwood APAC - PMI
2212,Britannia Hotels
2213,EuroBonus Hotels
2214,Avalon Resorts
2215,Palace Resorts
2216,Catalonia
2217,Eurostars Hotels
2218,H10 Hoteles
2219,Silken
2220,Hesperia
2221,AMResorts
2222,Othon Hotels - PMI
2223,Emporio Hotels & Resorts
2224,City Hotels
2225,Derby Hotels
2226,HCC
2227,Iberostar
2228,Non-Indian hotels
2229,Jarvis
2230,Ohana Hotels
2231,AC by Marriott
2232,Citymar
2233,Confortel
2234,Elba
2235,Expo Canarias
2236,Globalia
2237,Hace
2238,High Tech
2239,Hotasa
2240,Hoteles Center
2241,IFA Hotels
2242,Jale
2243,Monte
2244,Occidental
2245,Partner
2246,Quo
2247,Rafael
2248,Room Mate Hotels
2249,Santos
2250,Summa
2251,Vime
2252,Vincci
2253,Zenit
2254,Playa Senator
2255,Hospes
2256,Park Royal Hotels & Resorts
2257,Ritz-Carlton other branded
2258,Hotel Los Arcos - WWTE
2259,Lexington
2260,Bahamas.com - WWTE
2261,Tulip Inn
2262,Pullman Hotels and Resorts
2263,Andaz
2264,Choice Merchant
2265,EAP - Villa Group Resorts
2266,Suburban Extended Stay
2267,Appart'city
2268,Citea
2269,Appart'valley
2270,Citadines
2271,Ahotels
2272,Bonsai Hotels
2273,Hotansa
2274,Karibea Hotels
2275,New Hotels
2276,Oceania Hotels
2277,Oceanis Hotels
2278,JJW Hotels
2279,Aramark Parks & Destinations
2280,Coastal Hotels
2281,Gemstone Resorts
2282,Intrawest Corporation
2283,Viceroy Hotel Group
2284,Larkspur
2285,LodgeWorks
2286,Pacific Monarch Resorts
2287,Pacifica Host Hotels
2288,Pacifica Hotels
2289,Premier Resorts
2290,Richfield Hotels
2291,Sage Hospitality
2292,Stonebridge
2293,Evolution Hospitality
2294,Vail Resorts
2295,Warwick Managed
2296,Warwick Owned
2297,Aimbridge Hospitality
2298,Benchmark
2299,Crestline
2300,Davidson
2301,Hostmark Hospitality Group
2302,Kessler Collection
2303,Marcus Hotels & Resorts
2304,Park Management Group
2305,Remington
2306,Rosewood Hotels
2307,Sunstream Hotels
2308,aloft
2309,element
2310,Extended Stay America PMI
2311,Sunset Beach Resort Jamaica NA - WWTE
2312,Desire Los Cabos NA - WWTE
2313,Temptation Resort Spa Cancun NA - WWTE
2314,Blue Bay Club Cancun NA - WWTE
2315,Ramada ESR - PMI
2316,Howard Johnson ESR - PMI
2317,Travelodge ESR - PMI
2318,Baymont ESR - PMI
2319,Super 8 ESR - PMI
2320,Knights Inn ESR - PMI
2321,Wingate Inn ESR - PMI
2322,Wyndham ESR - PMI
2323,Days Inn ESR - PMI
2324,Starwood ESR - PMI
2325,Marriott ESR - PMI
2326,Carlson ESR - PMI
2327,Eviivo 
2328,La Quinta ESR - PMI
2329,Grange Hotels Group
2330,WWTE buffer brand
2331,WWTE buffer brand 1
2332,WWTE buffer brand 2
2333,WWTE buffer brand 3
2334,WWTE buffer brand 4
2335,WWTE buffer brand 5
2336,WWTE buffer brand 6
2337,WWTE buffer brand 7 
2338,WWTE buffer brand 8 
2339,WWTE buffer brand 9
2340,Dominican WWTE NA - WWTE
2341,Thon Hotels
2342,Fairmont Hotels ESR - PMI
2343,Casa de la Condesa Mexico City NA - WWTE
2344,Sheraton Buganvilias Resort Puerto Vallarta NA - WWTE
2345,Hotel Paradise Island Harbour WWTW NA - WWTE
2346,Paradisus
2347,Dorint Hotels & Resorts
2348,Ringhotels
2349,Cela
2350,CGH
2351,Eurogroup
2352,Goelia
2353,Grand bleu
2354,home business
2355,Hotels du Soleil
2356,Lagrange
2357,LVR
2358,M vacances
2359,Maison de biarritz
2360,Nemea
2361,Odalys Vacances
2362,P&V
2363,Pearl
2364,Residhome
2365,Sara
2366,Topotel
2367,VVF
2368,Hyattvacations Supechain
2369,Traders - PMI
2370,Stella Hospitality Group
2371,Ayre Hoteles
2372,Aqua Hotels
2373,Castle
2374,Classic Resorts
2375,Halekulani Corporation
2376,Hawaiian Hotels
2377,Marc Resorts
2378,Maui Condo and Home
2379,Oceanfront Realty
2380,Principle
2381,Seaside Hotels
2382,Shell Management
2383,Diamond Resorts
2384,Travelodge UK
2385,Marival Resort & Suites All-Inclusive 
2386,Casa Dorada Los Cabos Resort NA - WWTE
2387,Hippodrome Hotel NA - WWTE
2388,Ascend Collection
2389,Rezidor
2390,Wilshire Grand Los Angeles US - WWTE
2391,SPM Hotels and Resorts NA - WWTE
2392,Napili Kai Beach Resort NA - WWTE
2393,Jumeirah
2394,Boscolo Hotels
2395,Snowmass Village NA - WWTE
2396,Tamarack Townhouses NA - WWTE
2397,The Laurelwood NA - WWTE
2398,Interlude Condominiums NA - WWTE
2399,Terracehouse Condos NA - WWTE
2400,Stonebrige Inn NA - WWTE
2401,Sahara Hotel and Casino NA - WWTE
2402,Mountain Lodge at Telluride NA - WWTE
2403,Destination hotels and resorts Vail - WWTE
2404,Destination Hotels and Resorts Aspen - WWTE
2405,Nassau Palm Hotel - WWTE
2406,Flamingo Beach Resort - WWTE
2407,Decameron All Inclusive Hotels and Resorts - WWTE
2408,ResortQuest Maui Vacation & Home - WWTE
2409,Diamond Resorts - WWTE
2410,Corus Hotels
2411,Hilton Worldwide Resorts - WWTE
2412,Residhotel
2413,Four Queens Hotels and Casino - WWTE
2414,Execustay
2415,Recommended
2416,Asia Beds
2417,Adagio by Accor
2418,Aston Resorts
2419,Intercontinental Hotels Group - PMI
2420,The Doyle Collection
2421,CAMBRiA hotel & suites
2422,Crescent Hotels 
2423,Divi Resorts 
2424,Dolce Hotels and Resorts  
2425,Driftwood Hospitality 
2426,Festiva Resort 
2427,Capella Hotel Group
2428,Westgate Resorts 
2429,Boscolo Hotels - WWTE
2430,Kyriad Prestige
2431,Radisson Blu
2432,Sol
2433,Melia
2434,Gran Melia
2435,M Gallery
2436,Tuscany Suites & Casino - WWTE
2437,Mitchell Corp
2438,AOT
2439,Travel Guru
2440,Asian Trails Vietnam
2441,Asian Trails Thailand
2442,Asian Trails Cambodia
2443,Deithelm
2444,SEA Change Travel
2445,Holiday Inn Club Vacations
2446,Vista Vallarta Suites - WWTE
2447,Asian Trails Indonesia
2448,Starbay Resort - WWTE
2449,Red Bull Air Race Preferred Hotel - WWTE
2450,Karibea Hotels - WWTE
2451,Mango Bay Barbados - WWTE
2452,Station Casinos - WWTE
2453,Starwood Hotels and Resorts - Mexico - WWTE
2454,Aloft Element Four Points - PMI
2455,Me by Melia
2456,CBS - Thailand
2457,A&O Hostels 
2458,Royal Orchid
2459,Lemon Tree
2460,Ginger Hotels
2461,Sarovar Hotels
2462,The Park
2463,La Amada Hotel - WWTE
2464,Lopesan Hotels - WWTE
2465,Centerhotels
2466,Ramee Guestline
2467,Keahotels
2468,Reykjavik Hotels
2469,Oxford Hotels & Inns
2470,Las Vegas Sands
2471,Madame Vacances 
2472,Grand Cayman Beach Suites - WWTE
2473,Sun N Sand
2474,Hotusa
2475,Q - Hotels
2476,Leonardo Hotels
2477,El Cortez Hotel and Casino - WWTE
2478,Villas Caribe
2479,Destination Marketing Fund - PMI
2480,Swiss Quality Hotels
2481,LXR - PMI
2482,The Residence
2483,S�jours et Affaires
2484,Mandakini Hotels
2485,Parkland Hotels
2486,Presidente Intercontinental Hotels and Resorts - WWTE
2487,Sunstar Hotels
2488,VVF Vacances
2489,Bensaude Hotels
2490,Pestana Group
2491,Dom Pedro Hotels
